ファイル名	保存されていたフォルダ名
ユーラス由利高原ウインドファーム_準備書.pdf	平成24年8月24日知事意見
（仮称）北能代風力発電事業_準備書.pdf	平成24年9月10日知事意見
若美風力発電事業_方法書.pdf	平成25年8月12日知事意見 (1)
（仮称）大潟村風力発電所新設事業_方法書.pdf	平成25年8月12日知事意見
潟上海岸における風力発電事業_配慮書.pdf	平成26年10月20日知事意見 (1)
秋田潟上ウインドファーム風力発電事業_配慮書.pdf	平成26年10月20日知事意見 (2)
（仮称）鹿角上沼風力発電事業_配慮書.pdf	平成26年10月20日知事意見
由利本荘海岸風力発電事業_準備書.pdf	平成26年10月24日_知事意見
若美風力発電事業＿準備書.pdf	平成26年12月5日知事意見 (1)
八峰風力発電所_準備書.pdf	平成26年12月5日知事意見
能代地区における風力発電事業_準備書.pdf	平成26年4月25日知事意見
秋田港洋上風力発電事業_配慮書.pdf	平成27年11月16日知事意見 (1)
能代港洋上風力発電事業_配慮書.pdf	平成27年11月16日知事意見 (2)
新郷村風力発電所_準備書.pdf	平成27年11月16日知事意見
秋田潟上ウインドファーム風力発電事業＿準備書.pdf	平成27年12月15日知事意見
由利大内ウィンドファーム風力発電事業_配慮書知事意見.pdf	平成27年12月22日知事意見
秋田潟上ウインドファーム風力発電事業_方法書.pdf	平成27年4月13日知事意見 (1)
潟上海岸における風力発電事業_方法書.pdf	平成27年4月13日知事意見
（仮称）鹿角上沼風力発電事業_方法書.pdf	平成27年6月3日知事意見
新仁賀保風力発電事業（仮称）_準備書.pdf	平成27年7月21日知事意見
潟上海岸における風力発電事業＿準備書.pdf	平成28年1月22日知事意見
能代港洋上風力発電事業_方法書.pdf	平成28年7月13日知事意見 (1)
由利大内ウィンドファーム風力発電事業_方法書知事意見.pdf	平成28年7月13日知事意見 (2)
秋田港洋上風力発電事業＿方法書.pdf	平成28年7月13日知事意見
笹森山風力発電事業_配慮書.pdf	平成29年12月13日知事意見
（仮称）能代山本広域風力発電事業_配慮書.pdf	平成29年5月9日知事意見 (1)
能代風力発電所リプレース計画＿配慮書.pdf	平成29年5月9日知事意見 (1)
由利大内ウィンドファーム風力発電事業_準備書知事意見.pdf	平成29年6月23日知事意見
田子小国風力発電事業_配慮書.pdf	平成29年8月18日知事意見
笹森山風力発電事業_方法書.pdf	平成30年10月30日知事意見
能代風力発電所リプレース計画＿方法書.pdf	平成30年3月26日知事意見 (1)
八峰能代沖洋上風力発電事業_配慮書.pdf	平成30年3月26日知事意見
H300712_（仮称）西目風力発電事業更新計画（配慮書）.pdf	平成30年7月12日知事意見
能代港洋上風力発電事業_準備書.pdf	平成30年8月1日知事意見 (1)
秋田港洋上風力発電事業＿準備書.pdf	平成30年8月1日知事意見
（仮称）能代山本広域風力発電事業_方法書.pdf	平成30年9月4日知事意見
八峰能代沖洋上風力発電事業_方法書１.pdf	平成31年1月16日知事意見
田子小国風力発電事業_方法書.pdf	平成31年1月25日知事意見
（仮称）八竜風力発電所更新計画に係る計画段階環境配慮書に対する知事意見.pdf	令和2年10月22日知事意見
（仮称）由利本荘洋上風力発電事業＿配慮書.pdf	令和2年10月2日知事意見
（仮称）能代・三種・男鹿沖洋上風力発電事業_方法書.pdf	令和2年12月2日知事意見
（仮称）能代山本広域風力発電事業_準備書.pdf	令和2年12月4日知事意見
（仮称）秋田洋上風力発電事業_方法書.pdf	令和2年1月16日知事意見
能代風力発電所リプレース計画＿準備書.pdf	令和2年1月23日知事意見
（仮称）秋田県由利本荘市沖における洋上風力発電事業_配慮書.pdf	令和2年8月21日知事意見 (1)
（仮称）秋田県能代市・三種町・男鹿市沖における洋上風力発電事業_配慮書.pdf	令和2年8月21日知事意見
【セット】知事意見（別紙）（西目風力更新計画_準備書）.pdf	令和3年4月19日知事意見
（仮称）由利本荘洋上風力発電事業_方法書.pdf	令和3年5月11日知事意見
（仮称）秋田県由利本荘市沖における洋上風力発電事業_方法書.pdf	令和4年10月21日知事意見 (1)
（仮称）秋田県能代市・三種町・男鹿市沖における洋上風力発電事業_方法書.pdf	令和4年10月21日知事意見
八峰能代沖洋上風力発電事業_方法書２.pdf	令和4年1月4日知事意見
（別紙）知事意見（八竜風力更新計画_準備書）.pdf	令和4年4月12日知事意見
（仮称）八峰町及び能代市沖における洋上風力発電事業＿配慮書.pdf	令和4年4月26日知事意見
男鹿中いりあい風力発電事業に係る環境影響評価の概要_配慮書.pdf	令和4年8月22日知事権
（仮称）由利本荘岩城風力発電事業_配慮書.pdf	令和5年11月27日知事意見
（仮称）男鹿市、潟上市及び秋田市沖洋上風力発電事業_方法書.pdf	令和5年12月21日知事意見
三種五城目風力発電事業_配慮書.pdf	令和5年2月3日知事意見
（仮称）秋田県男鹿市、潟上市及び秋田市沖着床式洋上風力発電事業＿配慮書.pdf	令和5年2月8日知事意見
（仮称）男鹿市、潟上市及び秋田市沖洋上風力発電事業_配慮書.pdf	令和5年4月12日知事意見
三種五城目風力発電事業_方法書.pdf	令和5年8月23日知事意見
（仮称）八峰町及び能代市沖における洋上風力発電事業_方法書.pdf	令和5年9月20日知事意見
（仮称）鹿角東部市民ウィンドファーム事業_配慮書.pdf	令和6年9月27日知事意見 (1)
（仮称）上沼風力発電事業_配慮書.pdf	令和6年9月27日知事意見
（仮称）八竜風力発電所更新計画に係る環境影響評価方法書に対する知事意見.pdf	令和元年12月18日知事意見
（仮称）秋田洋上風力発電事業_配慮書.pdf	令和元年5月8日知事意見
（仮称）能代・三種・男鹿沖洋上風力発電事業_配慮書.pdf	令和元年9月26日知事意見
