ファイル名	保存されていたフォルダ名
かわら版No.47　栗子山風力発電事業について｜さのようへい／佐野洋平　「かわら版」.pdf	さのようへい／佐野洋平「かわら版」
かわら版No.54　令和6年米沢市政・前半期と後半期のチェックポイント｜さのようへい／佐野洋平　「かわら版」.pdf	さのようへい／佐野洋平「かわら版」
かわら版No.63　「栗子山風力発電事業」から、見えてきたもの｜さのようへい／佐野洋平　「かわら版」.pdf	さのようへい／佐野洋平「かわら版」
かわら版No.64　令和6年9月定例会・佐野洋平・一般質問「栗子山風力発電事業について」（全文版）｜さのようへい／佐野洋平　「かわら版」.pdf	さのようへい／佐野洋平「かわら版」
かわら版No.67　（仮称）栗子山風力発電事業が、白紙撤回に至るまで【記録・保存版】｜さのようへい／佐野洋平　「かわら版」.pdf	さのようへい／佐野洋平「かわら版」
(仮称)栗子山風力発電事業について、知事がコメントされました。.pdf	米沢の子供の未来と豊かな自然を考える会
(仮称)栗子山風力発電事業に対する山形県知事の意見が公表されました.pdf	米沢の子供の未来と豊かな自然を考える会
(仮称）栗子山風力発電事業の山形県環境影響評価審査会（環境影響評価準備書）を傍聴してきました.pdf	米沢の子供の未来と豊かな自然を考える会
「皆さん、JRグループに抗議の声を上げてください！」.pdf	米沢の子供の未来と豊かな自然を考える会
「米沢の子どもたちに負の影響と遺産を残してはいけない。大人の責任」.pdf	米沢の子供の未来と豊かな自然を考える会
「米沢市の再エネのゾーニングマップ説明会があります。説明会にみんなで行きましょう！」.pdf	米沢の子供の未来と豊かな自然を考える会
＜栗子山風力発電＞‟ようやく”市民への説明会が開催されることになりました.pdf	米沢の子供の未来と豊かな自然を考える会
＜栗子山風力発電＞4月26日に、第2回風力発電学習会を開催しました。アンケートの集計結果です.pdf	米沢の子供の未来と豊かな自然を考える会
＜栗子山風力発電＞７月１５日（月）、≪風力発電≫学習会を開催します.pdf	米沢の子供の未来と豊かな自然を考える会
＜栗子山風力発電＞７月２８日、３０日、８月３日、風力発電学習会を開催します.pdf	米沢の子供の未来と豊かな自然を考える会
＜栗子山風力発電＞これまでの報道と配布したチラシなど.pdf	米沢の子供の未来と豊かな自然を考える会
