都道府県名	資料種別	元のTSVファイル名	input_file	graph	output_file	json_file	保存されていたフォルダ名
秋田	行政資料	akita_relation.tsv	H300712_（仮称）西目風力発電事業更新計画（配慮書）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00001	Akita_00001.trig	.\output\json\Akita_00001.trig.json	平成30年7月12日知事意見
秋田	行政資料	akita_relation.tsv	【セット】知事意見（別紙）（西目風力更新計画_準備書）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00002	Akita_00002.trig	.\output\json\Akita_00002.trig.json	令和3年4月19日知事意見
秋田	行政資料	akita_relation.tsv	ユーラス由利高原ウインドファーム_準備書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00003	Akita_00003.trig	.\output\json\Akita_00003.trig.json	平成24年8月24日知事意見
秋田	行政資料	akita_relation.tsv	三種五城目風力発電事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00004	Akita_00004.trig	.\output\json\Akita_00004.trig.json	令和5年8月23日知事意見
秋田	行政資料	akita_relation.tsv	三種五城目風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00005	Akita_00005.trig	.\output\json\Akita_00005.trig.json	令和5年2月3日知事意見
秋田	行政資料	akita_relation.tsv	八峰能代沖洋上風力発電事業_方法書１.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00006	Akita_00006.trig	.\output\json\Akita_00006.trig.json	平成31年1月16日知事意見
秋田	行政資料	akita_relation.tsv	八峰能代沖洋上風力発電事業_方法書２.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00007	Akita_00007.trig	.\output\json\Akita_00007.trig.json	令和4年1月4日知事意見
秋田	行政資料	akita_relation.tsv	八峰能代沖洋上風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00008	Akita_00008.trig	.\output\json\Akita_00008.trig.json	平成30年3月26日知事意見
秋田	行政資料	akita_relation.tsv	八峰風力発電所_準備書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00009	Akita_00009.trig	.\output\json\Akita_00009.trig.json	平成26年12月5日知事意見
秋田	行政資料	akita_relation.tsv	新仁賀保風力発電事業（仮称）_準備書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00010	Akita_00010.trig	.\output\json\Akita_00010.trig.json	平成27年7月21日知事意見
秋田	行政資料	akita_relation.tsv	新郷村風力発電所_準備書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00011	Akita_00011.trig	.\output\json\Akita_00011.trig.json	平成27年11月16日知事意見
秋田	行政資料	akita_relation.tsv	潟上海岸における風力発電事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00012	Akita_00012.trig	.\output\json\Akita_00012.trig.json	平成27年4月13日知事意見
秋田	行政資料	akita_relation.tsv	潟上海岸における風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00013	Akita_00013.trig	.\output\json\Akita_00013.trig.json	平成26年10月20日知事意見 (1)
秋田	行政資料	akita_relation.tsv	潟上海岸における風力発電事業＿準備書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00014	Akita_00014.trig	.\output\json\Akita_00014.trig.json	平成28年1月22日知事意見
秋田	行政資料	akita_relation.tsv	田子小国風力発電事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00015	Akita_00015.trig	.\output\json\Akita_00015.trig.json	平成31年1月25日知事意見
秋田	行政資料	akita_relation.tsv	田子小国風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00016	Akita_00016.trig	.\output\json\Akita_00016.trig.json	平成29年8月18日知事意見
秋田	行政資料	akita_relation.tsv	由利大内ウィンドファーム風力発電事業_方法書知事意見.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00017	Akita_00017.trig	.\output\json\Akita_00017.trig.json	平成28年7月13日知事意見 (2)
秋田	行政資料	akita_relation.tsv	由利大内ウィンドファーム風力発電事業_準備書知事意見.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00018	Akita_00018.trig	.\output\json\Akita_00018.trig.json	平成29年6月23日知事意見
秋田	行政資料	akita_relation.tsv	由利大内ウィンドファーム風力発電事業_配慮書知事意見.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00019	Akita_00019.trig	.\output\json\Akita_00019.trig.json	平成27年12月22日知事意見
秋田	行政資料	akita_relation.tsv	由利本荘海岸風力発電事業_準備書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00020	Akita_00020.trig	.\output\json\Akita_00020.trig.json	平成26年10月24日_知事意見
秋田	行政資料	akita_relation.tsv	男鹿中いりあい風力発電事業に係る環境影響評価の概要_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00021	Akita_00021.trig	.\output\json\Akita_00021.trig.json	令和4年8月22日知事権
秋田	行政資料	akita_relation.tsv	秋田港洋上風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00022	Akita_00022.trig	.\output\json\Akita_00022.trig.json	平成27年11月16日知事意見 (1)
秋田	行政資料	akita_relation.tsv	秋田港洋上風力発電事業＿方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00023	Akita_00023.trig	.\output\json\Akita_00023.trig.json	平成28年7月13日知事意見
秋田	行政資料	akita_relation.tsv	秋田港洋上風力発電事業＿準備書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00024	Akita_00024.trig	.\output\json\Akita_00024.trig.json	平成30年8月1日知事意見
秋田	行政資料	akita_relation.tsv	秋田潟上ウインドファーム風力発電事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00025	Akita_00025.trig	.\output\json\Akita_00025.trig.json	平成27年4月13日知事意見 (1)
秋田	行政資料	akita_relation.tsv	秋田潟上ウインドファーム風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00026	Akita_00026.trig	.\output\json\Akita_00026.trig.json	平成26年10月20日知事意見 (2)
秋田	行政資料	akita_relation.tsv	秋田潟上ウインドファーム風力発電事業＿準備書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00027	Akita_00027.trig	.\output\json\Akita_00027.trig.json	平成27年12月15日知事意見
秋田	行政資料	akita_relation.tsv	笹森山風力発電事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00028	Akita_00028.trig	.\output\json\Akita_00028.trig.json	平成30年10月30日知事意見
秋田	行政資料	akita_relation.tsv	笹森山風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00029	Akita_00029.trig	.\output\json\Akita_00029.trig.json	平成29年12月13日知事意見
秋田	行政資料	akita_relation.tsv	能代地区における風力発電事業_準備書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00030	Akita_00030.trig	.\output\json\Akita_00030.trig.json	平成26年4月25日知事意見
秋田	行政資料	akita_relation.tsv	能代港洋上風力発電事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00031	Akita_00031.trig	.\output\json\Akita_00031.trig.json	平成28年7月13日知事意見 (1)
秋田	行政資料	akita_relation.tsv	能代港洋上風力発電事業_準備書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00032	Akita_00032.trig	.\output\json\Akita_00032.trig.json	平成30年8月1日知事意見 (1)
秋田	行政資料	akita_relation.tsv	能代港洋上風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00033	Akita_00033.trig	.\output\json\Akita_00033.trig.json	平成27年11月16日知事意見 (2)
秋田	行政資料	akita_relation.tsv	能代風力発電所リプレース計画＿方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00034	Akita_00034.trig	.\output\json\Akita_00034.trig.json	平成30年3月26日知事意見 (1)
秋田	行政資料	akita_relation.tsv	能代風力発電所リプレース計画＿準備書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00035	Akita_00035.trig	.\output\json\Akita_00035.trig.json	令和2年1月23日知事意見
秋田	行政資料	akita_relation.tsv	能代風力発電所リプレース計画＿配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00036	Akita_00036.trig	.\output\json\Akita_00036.trig.json	平成29年5月9日知事意見 (1)
秋田	行政資料	akita_relation.tsv	若美風力発電事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00037	Akita_00037.trig	.\output\json\Akita_00037.trig.json	平成25年8月12日知事意見 (1)
秋田	行政資料	akita_relation.tsv	若美風力発電事業＿準備書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00038	Akita_00038.trig	.\output\json\Akita_00038.trig.json	平成26年12月5日知事意見 (1)
秋田	行政資料	akita_relation.tsv	（仮称）上沼風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00039	Akita_00039.trig	.\output\json\Akita_00039.trig.json	令和6年9月27日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）八峰町及び能代市沖における洋上風力発電事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00040	Akita_00040.trig	.\output\json\Akita_00040.trig.json	令和5年9月20日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）八峰町及び能代市沖における洋上風力発電事業＿配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00041	Akita_00041.trig	.\output\json\Akita_00041.trig.json	令和4年4月26日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）八竜風力発電所更新計画に係る環境影響評価方法書に対する知事意見.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00042	Akita_00042.trig	.\output\json\Akita_00042.trig.json	令和元年12月18日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）八竜風力発電所更新計画に係る計画段階環境配慮書に対する知事意見.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00043	Akita_00043.trig	.\output\json\Akita_00043.trig.json	令和2年10月22日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）北能代風力発電事業_準備書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00044	Akita_00044.trig	.\output\json\Akita_00044.trig.json	平成24年9月10日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）大潟村風力発電所新設事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00045	Akita_00045.trig	.\output\json\Akita_00045.trig.json	平成25年8月12日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）由利本荘岩城風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00046	Akita_00046.trig	.\output\json\Akita_00046.trig.json	令和5年11月27日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）由利本荘洋上風力発電事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00047	Akita_00047.trig	.\output\json\Akita_00047.trig.json	令和3年5月11日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）由利本荘洋上風力発電事業＿配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00048	Akita_00048.trig	.\output\json\Akita_00048.trig.json	令和2年10月2日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）男鹿市、潟上市及び秋田市沖洋上風力発電事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00049	Akita_00049.trig	.\output\json\Akita_00049.trig.json	令和5年12月21日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）男鹿市、潟上市及び秋田市沖洋上風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00050	Akita_00050.trig	.\output\json\Akita_00050.trig.json	令和5年4月12日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）秋田洋上風力発電事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00051	Akita_00051.trig	.\output\json\Akita_00051.trig.json	令和2年1月16日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）秋田洋上風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00052	Akita_00052.trig	.\output\json\Akita_00052.trig.json	令和元年5月8日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）秋田県由利本荘市沖における洋上風力発電事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00053	Akita_00053.trig	.\output\json\Akita_00053.trig.json	令和4年10月21日知事意見 (1)
秋田	行政資料	akita_relation.tsv	（仮称）秋田県由利本荘市沖における洋上風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00054	Akita_00054.trig	.\output\json\Akita_00054.trig.json	令和2年8月21日知事意見 (1)
秋田	行政資料	akita_relation.tsv	（仮称）秋田県男鹿市、潟上市及び秋田市沖着床式洋上風力発電事業＿配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00055	Akita_00055.trig	.\output\json\Akita_00055.trig.json	令和5年2月8日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）秋田県能代市・三種町・男鹿市沖における洋上風力発電事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00056	Akita_00056.trig	.\output\json\Akita_00056.trig.json	令和4年10月21日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）秋田県能代市・三種町・男鹿市沖における洋上風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00057	Akita_00057.trig	.\output\json\Akita_00057.trig.json	令和2年8月21日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）能代・三種・男鹿沖洋上風力発電事業_方法書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00058	Akita_00058.trig	.\output\json\Akita_00058.trig.json	令和2年12月2日知事意見
秋田	行政資料	akita_relation.tsv	（仮称）能代・三種・男鹿沖洋上風力発電事業_配慮書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Akita/00059	Akita_00059.trig	.\output\json\Akita_00059.trig.json	令和元年9月26日知事意見
