input_file	graph	output_file	json_file
(仮称)栗子山風力発電事業について、知事がコメントされました。.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00001	YamagataWeb00001.trig	YamagataWeb00001.trig.json
(仮称)栗子山風力発電事業に対する山形県知事の意見が公表されました.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00002	YamagataWeb00002.trig	YamagataWeb00002.trig.json
(仮称）栗子山風力発電事業の山形県環境影響評価審査会（環境影響評価準備書）を傍聴してきました.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00003	YamagataWeb00003.trig	YamagataWeb00003.trig.json
2日間のJR東日本エネルギー開発の説明会が終わりました.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00004	YamagataWeb00004.trig	YamagataWeb00004.trig.json
JR東日本エネルギー開発、栗子山風力発電計画断念.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00005	YamagataWeb00005.trig	YamagataWeb00005.trig.json
JR東日本エネルギー開発による説明会に行きましょう！.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00006	YamagataWeb00006.trig	YamagataWeb00006.trig.json
JR東日本エネルギー開発の申請と実際の工事に差異。米沢市議会の一般質問で明らかに.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00007	YamagataWeb00007.trig	YamagataWeb00007.trig.json
JR東日本エネルギー開発は、（仮称）栗子山風力発電事業の継続を発表.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00008	YamagataWeb00008.trig	YamagataWeb00008.trig.json
JR東日本エネルギー開発は撤退を決意しました。これまでのご支援、ありがとうございました.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00009	YamagataWeb00009.trig	YamagataWeb00009.trig.json
JR東日本エネルギー開発へ、米沢市長から全面白紙撤回の申し入れが出されました.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00010	YamagataWeb00010.trig	YamagataWeb00010.trig.json
JR東日本エネルギー開発社長と米沢市長との面談が行われました.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00011	YamagataWeb00011.trig	YamagataWeb00011.trig.json
「皆さん、JRグループに抗議の声を上げてください！」.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00012	YamagataWeb00012.trig	YamagataWeb00012.trig.json
