input_file	graph	output_file	json_file
200703 （仮称）北海道小樽余市風力発電所計画段階環境配慮書に係る知事意見.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00001	Hokkaido_00001.trig	.\output\json\Hokkaido_00001.trig.json
20190716 メガソーラービジネス（北海道初の「蓄電池併設型」、松前で国内最大風車が稼働）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00002	Hokkaido_00002.trig	.\output\json\Hokkaido_00002.trig.json
20191219 ニュースリリース：北海道松前町と東急不動産 風力発電事業と地域活性化に関する協定書を締結.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00003	Hokkaido_00003.trig	.\output\json\Hokkaido_00003.trig.json
20191219 北海道松前町と東急不動産 風力発電事業と地域活性化に関する協定書を締結（東急不動産ウェブサイト）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00004	Hokkaido_00004.trig	.\output\json\Hokkaido_00004.trig.json
20220301 ニュースリリース：北海道松前町と東急不動産　まちづくり計画策定に関する協定書を締結.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00005	Hokkaido_00005.trig	.\output\json\Hokkaido_00005.trig.json
20220301 北海道松前町と東急不動産　まちづくり計画策定に関する協定書を締結（東急不動産ウェブサイト）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00006	Hokkaido_00006.trig	.\output\json\Hokkaido_00006.trig.json
20220530 配慮書提出：北海道および宮城県における陸上風力発電所開発の検討開始（関西電力）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00007	Hokkaido_00007.trig	.\output\json\Hokkaido_00007.trig.json
20220630 （日本自然保護協会HP）関西電力が公表した５件の風力発電所開発の計画段階環境配慮書に対して意見書を提出しました.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00008	Hokkaido_00008.trig	.\output\json\Hokkaido_00008.trig.json
20220630 （日本自然保護協会）（仮称）古平・仁木・余市ウィンドファーム事業計画段階環境配慮書に関する意見書.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00009	Hokkaido_00009.trig	.\output\json\Hokkaido_00009.trig.json
20220704 ニュースリリース：北海道松前町教育委員会との協定書の締結について ～再生可能エネルギーと共に歩む街づくりに向けて～.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00010	Hokkaido_00010.trig	.\output\json\Hokkaido_00010.trig.json
20220704 北海道松前町教育委員会との協定書の締結について ～再生可能エネルギーと共に歩む街づくりに向けて～（東急不動産ウェブサイト）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00011	Hokkaido_00011.trig	.\output\json\Hokkaido_00011.trig.json
20220824 日経BizGate（北海道最南端の町、「風車と牛」で再生　東急不と連携）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00012	Hokkaido_00012.trig	.\output\json\Hokkaido_00012.trig.json
20220912 令和4年9月12日知事意見　法84_01配慮書_01知事_(仮称)古平・仁木・余市ウィンドファーム事業.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00013	Hokkaido_00013.trig	.\output\json\Hokkaido_00013.trig.json
20230216 北海道新聞デジタル（＜デジタル発＞風力発電、各地で住民「待った」　適地減り土砂崩れなど懸念　計画撤回も）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00014	Hokkaido_00014.trig	.\output\json\Hokkaido_00014.trig.json
20230405 ニュースリリース：松前町と企業連携まちづくり計画等の推進業務に係る協定書を締結.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00015	Hokkaido_00015.trig	.\output\json\Hokkaido_00015.trig.json
20230405 松前町と企業連携まちづくり計画等の推進業務に係る協定書を締結（東急不動産ウェブサイト）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00016	Hokkaido_00016.trig	.\output\json\Hokkaido_00016.trig.json
20230418 ニュースリリース：北海道松前町における地域活性化プロジェクト 学生による「松前~提案 新設された「一般社団法人北海道まつまえ観光物産協会」の協会ロゴマークに採用決定.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00017	Hokkaido_00017.trig	.\output\json\Hokkaido_00017.trig.json
20230418 北海道松前町における地域活性化プロジェクト 学生による「松前町ブランドロゴ」「~人北海道まつまえ観光物産協会」の協会ロゴマークに採用決定（東急不動産ウェブサイト）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00018	Hokkaido_00018.trig	.\output\json\Hokkaido_00018.trig.json
20230602 東洋経済オンライン（北海道｢釧路湿原｣侵食するソーラーパネルの深刻 天然記念物も生息する日本最大の湿原に異変）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00019	Hokkaido_00019.trig	.\output\json\Hokkaido_00019.trig.json
20230921 まちの特性を活かした風力発電事業によって地域活性化を促進する北海道松前町の新~企画・開発を行う「みんなでつくるプロジェクト」等を実施～（東急不動産ウェブサイト）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00020	Hokkaido_00020.trig	.\output\json\Hokkaido_00020.trig.json
20230921 ニュースリリース：まちの特性を活かした風力発電事業によって地域活性化を促進す~松前」が開園 ～地域参加型で企画・開発を行う「みんなでつくるプロジェクト」等を実施～.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00021	Hokkaido_00021.trig	.\output\json\Hokkaido_00021.trig.json
20231121 「（仮称）古平・余市ウィンドファーム事業 環境影響評価方法書」の提出.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00022	Hokkaido_00022.trig	.\output\json\Hokkaido_00022.trig.json
20231121 朝日新聞（関電、北海道での風力発電計画を大幅縮小　自然保護団体や地元が反対 [北海道]）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00023	Hokkaido_00023.trig	.\output\json\Hokkaido_00023.trig.json
20231122 （仮称）古平・余市ウィンドファーム事業　環境影響評価方法書のあらまし（関西電力株式会社）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00024	Hokkaido_00024.trig	.\output\json\Hokkaido_00024.trig.json
20231216 朝日新聞（風力発電に「逆風」　計画縮小の関西電力が説明会、住民から厳しい声 [北海道]）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00025	Hokkaido_00025.trig	.\output\json\Hokkaido_00025.trig.json
20240229 北海道新聞デジタル（松前のマイクログリッド運用始まる　災害時に避難場所などに電力供給）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00026	Hokkaido_00026.trig	.\output\json\Hokkaido_00026.trig.json
