都道府県名	資料種別	元のTSVファイル名	input_file	graph	output_file	json_file	保存されていたフォルダ名
北海道	議会会議録	relation.tsv	仁木町議会　令和5年12月　第4回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00003	Graph_00003.trig	.\output\json\Graph_00003.trig.json	北海道\仁木町議会会議録
北海道	議会会議録	relation.tsv	仁木町議会　令和5年3月　第1回定例会（3日目）.txt	https://kozaki-lab.jp/REFV-KG/docs/00004	Graph_00004.trig	.\output\json\Graph_00004.trig.json	北海道\仁木町議会会議録
北海道	議会会議録	relation.tsv	仁木町議会　令和5年9月　第3回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00005	Graph_00005.trig	.\output\json\Graph_00005.trig.json	北海道\仁木町議会会議録
北海道	議会会議録	relation.tsv	令和2年12月　第4回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00007	Graph_00007.trig	.\output\json\Graph_00007.trig.json	北海道\松前町議会会議録
北海道	議会会議録	relation.tsv	令和2年6月　第2回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00008	Graph_00008.trig	.\output\json\Graph_00008.trig.json	北海道\松前町議会会議録
北海道	議会会議録	relation.tsv	令和2年9月　第3回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00009	Graph_00009.trig	.\output\json\Graph_00009.trig.json	北海道\松前町議会会議録
北海道	議会会議録	relation.tsv	令和3年3月　第1回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00010	Graph_00010.trig	.\output\json\Graph_00010.trig.json	北海道\松前町議会会議録
北海道	議会会議録	relation.tsv	令和3年6月　第2回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00011	Graph_00011.trig	.\output\json\Graph_00011.trig.json	北海道\松前町議会会議録
北海道	議会会議録	relation.tsv	令和4年3月　第1回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00012	Graph_00012.trig	.\output\json\Graph_00012.trig.json	北海道\松前町議会会議録
北海道	議会会議録	relation.tsv	令和4年6月　第2回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00013	Graph_00013.trig	.\output\json\Graph_00013.trig.json	北海道\松前町議会会議録
北海道	議会会議録	relation.tsv	令和4年9月　第3回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00014	Graph_00014.trig	.\output\json\Graph_00014.trig.json	北海道\松前町議会会議録
北海道	議会会議録	relation.tsv	令和5年3月　第1回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00015	Graph_00015.trig	.\output\json\Graph_00015.trig.json	北海道\松前町議会会議録
北海道	議会会議録	relation.tsv	令和5年6月　第2回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00016	Graph_00016.trig	.\output\json\Graph_00016.trig.json	北海道\松前町議会会議録
北海道	議会会議録	relation.tsv	令和5年9月　第3回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00017	Graph_00017.trig	.\output\json\Graph_00017.trig.json	北海道\松前町議会会議録
北海道	議会会議録	relation.tsv	令和6年3月　第1回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00018	Graph_00018.trig	.\output\json\Graph_00018.trig.json	北海道\松前町議会会議録
北海道	議会会議録	relation.tsv	令和6年6月　第2回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00019	Graph_00019.trig	.\output\json\Graph_00019.trig.json	北海道\松前町議会会議録
北海道	議会会議録	relation.tsv	令和6年9月　第3回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00020	Graph_00020.trig	.\output\json\Graph_00020.trig.json	北海道\松前町議会会議録
山形	議会会議録	relation.tsv	令和6年9月定例会議事日程第3号.txt	https://kozaki-lab.jp/REFV-KG/docs/00021	Graph_00021.trig	.\output\json\Graph_00021.trig.json	山形\米沢市議会会議録
山形	議会会議録	relation.tsv	令和6年9月定例会議事日程第4号.txt	https://kozaki-lab.jp/REFV-KG/docs/00022	Graph_00022.trig	.\output\json\Graph_00022.trig.json	山形\米沢市議会会議録
山形	議会会議録	relation.tsv	令和6年9月定例会議事日程第6号.txt	https://kozaki-lab.jp/REFV-KG/docs/00023	Graph_00023.trig	.\output\json\Graph_00023.trig.json	山形\米沢市議会会議録
山形	議会会議録	relation.tsv	令和　１年　１２月　定例会（第７回）  12月18日－03号.txt	https://kozaki-lab.jp/REFV-KG/docs/00024	Graph_00024.trig	.\output\json\Graph_00024.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和　２年　　３月　定例会（第１回）  03月17日－06号.txt	https://kozaki-lab.jp/REFV-KG/docs/00025	Graph_00025.trig	.\output\json\Graph_00025.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和　３年　　３月　定例会（第２回）  03月19日－07号.txt	https://kozaki-lab.jp/REFV-KG/docs/00026	Graph_00026.trig	.\output\json\Graph_00026.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和　４年　　３月　定例会（第１回）  02月28日－02号.txt	https://kozaki-lab.jp/REFV-KG/docs/00027	Graph_00027.trig	.\output\json\Graph_00027.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和　６年　　３月　定例会（第２回）  02月27日－02号.txt	https://kozaki-lab.jp/REFV-KG/docs/00028	Graph_00028.trig	.\output\json\Graph_00028.trig.json	山形\酒田市議会会議録
北海道	議会会議録	relation.tsv	令和元年12月　第4回定例会.txt	https://kozaki-lab.jp/REFV-KG/docs/00029	Graph_00029.trig	.\output\json\Graph_00029.trig.json	北海道\松前町議会会議録
山形	議会会議録	relation.tsv	令和１年１２月定例会（第７回）12月18日－03号.txt	https://kozaki-lab.jp/REFV-KG/docs/00030	Graph_00030.trig	.\output\json\Graph_00030.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和１年１２月定例会（第７回）12月20日－05号.txt	https://kozaki-lab.jp/REFV-KG/docs/00031	Graph_00031.trig	.\output\json\Graph_00031.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和１年９月定例会（第５回）09月30日－01号.txt	https://kozaki-lab.jp/REFV-KG/docs/00032	Graph_00032.trig	.\output\json\Graph_00032.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和２年３月定例会（第１回）02月28日－02号.txt	https://kozaki-lab.jp/REFV-KG/docs/00033	Graph_00033.trig	.\output\json\Graph_00033.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和２年３月定例会（第１回）03月13日－05号.txt	https://kozaki-lab.jp/REFV-KG/docs/00034	Graph_00034.trig	.\output\json\Graph_00034.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和２年６月定例会（第３回）06月05日－01号.txt	https://kozaki-lab.jp/REFV-KG/docs/00035	Graph_00035.trig	.\output\json\Graph_00035.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和２年９月定例会（第５回）09月17日－05号.txt	https://kozaki-lab.jp/REFV-KG/docs/00036	Graph_00036.trig	.\output\json\Graph_00036.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和３年１２月定例会（第８回）12月21日－04号.txt	https://kozaki-lab.jp/REFV-KG/docs/00037	Graph_00037.trig	.\output\json\Graph_00037.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和３年３月定例会（第２回）02月26日－02号.txt	https://kozaki-lab.jp/REFV-KG/docs/00038	Graph_00038.trig	.\output\json\Graph_00038.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和３年３月定例会（第２回）03月02日－03号.txt	https://kozaki-lab.jp/REFV-KG/docs/00039	Graph_00039.trig	.\output\json\Graph_00039.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和３年３月定例会（第２回）03月11日－04号.txt	https://kozaki-lab.jp/REFV-KG/docs/00040	Graph_00040.trig	.\output\json\Graph_00040.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和３年３月定例会（第２回）03月15日－05号.txt	https://kozaki-lab.jp/REFV-KG/docs/00041	Graph_00041.trig	.\output\json\Graph_00041.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和３年３月定例会（第２回）03月17日－06号.txt	https://kozaki-lab.jp/REFV-KG/docs/00042	Graph_00042.trig	.\output\json\Graph_00042.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和３年３月定例会（第２回）03月19日－07号.txt	https://kozaki-lab.jp/REFV-KG/docs/00043	Graph_00043.trig	.\output\json\Graph_00043.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和３年６月定例会（第４回）06月22日－04号.txt	https://kozaki-lab.jp/REFV-KG/docs/00044	Graph_00044.trig	.\output\json\Graph_00044.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和３年６月定例会（第４回）06月23日－05号.txt	https://kozaki-lab.jp/REFV-KG/docs/00045	Graph_00045.trig	.\output\json\Graph_00045.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和３年６月定例会（第４回）06月24日－06号.txt	https://kozaki-lab.jp/REFV-KG/docs/00046	Graph_00046.trig	.\output\json\Graph_00046.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和３年９月定例会（第６回）08月27日－01号.txt	https://kozaki-lab.jp/REFV-KG/docs/00047	Graph_00047.trig	.\output\json\Graph_00047.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和３年９月定例会（第６回）09月15日－04号.txt	https://kozaki-lab.jp/REFV-KG/docs/00048	Graph_00048.trig	.\output\json\Graph_00048.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	令和３年９月定例会（第６回）09月16日－05号.txt	https://kozaki-lab.jp/REFV-KG/docs/00049	Graph_00049.trig	.\output\json\Graph_00049.trig.json	山形\酒田市議会会議録
